remote_url	local_path	bytes	sha256_12
https://henriqueprogramas.neocities.org/	index.html	1123	7a41e3703f6b
https://henriqueprogramas.neocities.org/style.css	style.css	298	7f2ba9b15b24
https://henriqueprogramas.neocities.org/neocities.png	neocities.png	13232	efa7c2e05628
